jahr,stadtkreis,quartier,staatenkleingruppe,anzahl
2023,Stadt,Altstadt,Afrika,NA
2023,Stadt,Altstadt,Amerika,22
2023,Stadt,Altstadt,Asien,29
2023,Stadt,Altstadt,Australien und Ozeanien,NA
2023,Stadt,Altstadt,Deutschland,130
2023,Stadt,Altstadt,Italien,47
2023,Stadt,Altstadt,Kosovo,NA
2023,Stadt,Altstadt,Mazedonien,NA
2023,Stadt,Altstadt,Nordeuropa,NA
2023,Stadt,Altstadt,Österreich,22
2023,Stadt,Altstadt,Osteuropa und Russland,23
2023,Stadt,Altstadt,Portugal,NA
2023,Stadt,Altstadt,Schweiz,1685
2023,Stadt,Altstadt,Serbien,NA
2023,Stadt,Altstadt,Spanien,NA
2023,Stadt,Altstadt,Türkei,NA
2023,Stadt,Altstadt,übriges Mitteleuropa,25
2023,Stadt,Altstadt,übriges Südosteuropa,NA
2023,Stadt,Altstadt,Westeuropa,47
2023,Veltheim,Blumenau,Afrika,76
2023,Veltheim,Blumenau,Amerika,30
2023,Veltheim,Blumenau,Asien,144
2023,Veltheim,Blumenau,Australien und Ozeanien,NA
2023,Veltheim,Blumenau,Bosnien u. Herzegowina,NA
2023,Veltheim,Blumenau,Deutschland,225
2023,Veltheim,Blumenau,Italien,161
2023,Veltheim,Blumenau,Kosovo,67
2023,Veltheim,Blumenau,Mazedonien,72
2023,Veltheim,Blumenau,Nordeuropa,NA
2023,Veltheim,Blumenau,Österreich,33
2023,Veltheim,Blumenau,Osteuropa und Russland,39
2023,Veltheim,Blumenau,Portugal,58
2023,Veltheim,Blumenau,Schweiz,3413
2023,Veltheim,Blumenau,Serbien,44
2023,Veltheim,Blumenau,Spanien,45
2023,Veltheim,Blumenau,Türkei,56
2023,Veltheim,Blumenau,übriges Mitteleuropa,57
2023,Veltheim,Blumenau,übriges Südosteuropa,26
2023,Veltheim,Blumenau,unbekannt,5
2023,Veltheim,Blumenau,Westeuropa,55
2023,Stadt,Brühlberg,Afrika,NA
2023,Stadt,Brühlberg,Amerika,NA
2023,Stadt,Brühlberg,Asien,38
2023,Stadt,Brühlberg,Australien und Ozeanien,NA
2023,Stadt,Brühlberg,Bosnien u. Herzegowina,NA
2023,Stadt,Brühlberg,Deutschland,138
2023,Stadt,Brühlberg,Italien,60
2023,Stadt,Brühlberg,Kosovo,NA
2023,Stadt,Brühlberg,Mazedonien,28
2023,Stadt,Brühlberg,Nordeuropa,NA
2023,Stadt,Brühlberg,Österreich,NA
2023,Stadt,Brühlberg,Osteuropa und Russland,23
2023,Stadt,Brühlberg,Portugal,22
2023,Stadt,Brühlberg,Schweiz,1751
2023,Stadt,Brühlberg,Serbien,NA
2023,Stadt,Brühlberg,Spanien,NA
2023,Stadt,Brühlberg,Türkei,NA
2023,Stadt,Brühlberg,übriges Mitteleuropa,42
2023,Stadt,Brühlberg,übriges Südosteuropa,NA
2023,Stadt,Brühlberg,Westeuropa,27
2023,Seen,Büelwiesen,Afrika,65
2023,Seen,Büelwiesen,Amerika,24
2023,Seen,Büelwiesen,Asien,177
2023,Seen,Büelwiesen,Bosnien u. Herzegowina,NA
2023,Seen,Büelwiesen,Deutschland,118
2023,Seen,Büelwiesen,Italien,159
2023,Seen,Büelwiesen,Kosovo,76
2023,Seen,Büelwiesen,Mazedonien,56
2023,Seen,Büelwiesen,Nordeuropa,NA
2023,Seen,Büelwiesen,Österreich,22
2023,Seen,Büelwiesen,Osteuropa und Russland,45
2023,Seen,Büelwiesen,Portugal,31
2023,Seen,Büelwiesen,Schweiz,2231
2023,Seen,Büelwiesen,Serbien,35
2023,Seen,Büelwiesen,Spanien,23
2023,Seen,Büelwiesen,Türkei,103
2023,Seen,Büelwiesen,übriges Mitteleuropa,57
2023,Seen,Büelwiesen,übriges Südosteuropa,31
2023,Seen,Büelwiesen,unbekannt,6
2023,Seen,Büelwiesen,Westeuropa,23
2023,Töss,Dättnau,Afrika,41
2023,Töss,Dättnau,Amerika,NA
2023,Töss,Dättnau,Asien,122
2023,Töss,Dättnau,Bosnien u. Herzegowina,NA
2023,Töss,Dättnau,Deutschland,150
2023,Töss,Dättnau,Italien,200
2023,Töss,Dättnau,Kosovo,73
2023,Töss,Dättnau,Mazedonien,147
2023,Töss,Dättnau,Nordeuropa,NA
2023,Töss,Dättnau,Österreich,23
2023,Töss,Dättnau,Osteuropa und Russland,NA
2023,Töss,Dättnau,Portugal,26
2023,Töss,Dättnau,Schweiz,2775
2023,Töss,Dättnau,Serbien,46
2023,Töss,Dättnau,Spanien,25
2023,Töss,Dättnau,Türkei,103
2023,Töss,Dättnau,übriges Mitteleuropa,56
2023,Töss,Dättnau,übriges Südosteuropa,NA
2023,Töss,Dättnau,Westeuropa,NA
2023,Mattenbach,Deutweg,Afrika,132
2023,Mattenbach,Deutweg,Amerika,67
2023,Mattenbach,Deutweg,Asien,168
2023,Mattenbach,Deutweg,Australien und Ozeanien,NA
2023,Mattenbach,Deutweg,Bosnien u. Herzegowina,NA
2023,Mattenbach,Deutweg,Deutschland,315
2023,Mattenbach,Deutweg,Italien,209
2023,Mattenbach,Deutweg,Kosovo,44
2023,Mattenbach,Deutweg,Mazedonien,105
2023,Mattenbach,Deutweg,Nordeuropa,24
2023,Mattenbach,Deutweg,Österreich,59
2023,Mattenbach,Deutweg,Osteuropa und Russland,187
2023,Mattenbach,Deutweg,Portugal,45
2023,Mattenbach,Deutweg,Schweiz,5541
2023,Mattenbach,Deutweg,Serbien,36
2023,Mattenbach,Deutweg,Spanien,66
2023,Mattenbach,Deutweg,Türkei,75
2023,Mattenbach,Deutweg,übriges Mitteleuropa,90
2023,Mattenbach,Deutweg,übriges Südosteuropa,27
2023,Mattenbach,Deutweg,unbekannt,7
2023,Mattenbach,Deutweg,Westeuropa,61
2023,Töss,Eichliacker,Afrika,123
2023,Töss,Eichliacker,Amerika,27
2023,Töss,Eichliacker,Asien,189
2023,Töss,Eichliacker,Australien und Ozeanien,NA
2023,Töss,Eichliacker,Bosnien u. Herzegowina,25
2023,Töss,Eichliacker,Deutschland,193
2023,Töss,Eichliacker,Italien,274
2023,Töss,Eichliacker,Kosovo,63
2023,Töss,Eichliacker,Mazedonien,150
2023,Töss,Eichliacker,Nordeuropa,NA
2023,Töss,Eichliacker,Österreich,37
2023,Töss,Eichliacker,Osteuropa und Russland,36
2023,Töss,Eichliacker,Portugal,57
2023,Töss,Eichliacker,Schweiz,2772
2023,Töss,Eichliacker,Serbien,52
2023,Töss,Eichliacker,Spanien,36
2023,Töss,Eichliacker,Türkei,153
2023,Töss,Eichliacker,übriges Mitteleuropa,68
2023,Töss,Eichliacker,übriges Südosteuropa,46
2023,Töss,Eichliacker,unbekannt,3
2023,Töss,Eichliacker,Westeuropa,32
2023,Seen,Eidberg,Asien,NA
2023,Seen,Eidberg,Deutschland,NA
2023,Seen,Eidberg,Italien,NA
2023,Seen,Eidberg,Osteuropa und Russland,NA
2023,Seen,Eidberg,Portugal,NA
2023,Seen,Eidberg,Schweiz,165
2023,Seen,Eidberg,übriges Südosteuropa,NA
2023,Mattenbach,Endliker,Afrika,69
2023,Mattenbach,Endliker,Amerika,NA
2023,Mattenbach,Endliker,Asien,85
2023,Mattenbach,Endliker,Bosnien u. Herzegowina,NA
2023,Mattenbach,Endliker,Deutschland,54
2023,Mattenbach,Endliker,Italien,135
2023,Mattenbach,Endliker,Kosovo,63
2023,Mattenbach,Endliker,Mazedonien,49
2023,Mattenbach,Endliker,Nordeuropa,NA
2023,Mattenbach,Endliker,Österreich,NA
2023,Mattenbach,Endliker,Osteuropa und Russland,26
2023,Mattenbach,Endliker,Portugal,NA
2023,Mattenbach,Endliker,Schweiz,1501
2023,Mattenbach,Endliker,Serbien,47
2023,Mattenbach,Endliker,Spanien,NA
2023,Mattenbach,Endliker,Türkei,68
2023,Mattenbach,Endliker,übriges Mitteleuropa,44
2023,Mattenbach,Endliker,übriges Südosteuropa,36
2023,Mattenbach,Endliker,unbekannt,3
2023,Mattenbach,Endliker,Westeuropa,NA
2023,Seen,Ganzenbühl,Afrika,55
2023,Seen,Ganzenbühl,Amerika,24
2023,Seen,Ganzenbühl,Asien,71
2023,Seen,Ganzenbühl,Bosnien u. Herzegowina,NA
2023,Seen,Ganzenbühl,Deutschland,126
2023,Seen,Ganzenbühl,Italien,165
2023,Seen,Ganzenbühl,Kosovo,44
2023,Seen,Ganzenbühl,Mazedonien,26
2023,Seen,Ganzenbühl,Nordeuropa,NA
2023,Seen,Ganzenbühl,Österreich,NA
2023,Seen,Ganzenbühl,Osteuropa und Russland,30
2023,Seen,Ganzenbühl,Portugal,NA
2023,Seen,Ganzenbühl,Schweiz,2303
2023,Seen,Ganzenbühl,Serbien,41
2023,Seen,Ganzenbühl,Spanien,NA
2023,Seen,Ganzenbühl,Türkei,80
2023,Seen,Ganzenbühl,übriges Mitteleuropa,40
2023,Seen,Ganzenbühl,übriges Südosteuropa,30
2023,Seen,Ganzenbühl,unbekannt,1
2023,Seen,Ganzenbühl,Westeuropa,23
2023,Seen,Gotzenwil,Amerika,NA
2023,Seen,Gotzenwil,Asien,NA
2023,Seen,Gotzenwil,Deutschland,NA
2023,Seen,Gotzenwil,Italien,NA
2023,Seen,Gotzenwil,Kosovo,NA
2023,Seen,Gotzenwil,Österreich,NA
2023,Seen,Gotzenwil,Osteuropa und Russland,NA
2023,Seen,Gotzenwil,Portugal,NA
2023,Seen,Gotzenwil,Schweiz,633
2023,Seen,Gotzenwil,Spanien,NA
2023,Seen,Gotzenwil,Türkei,NA
2023,Seen,Gotzenwil,übriges Mitteleuropa,NA
2023,Seen,Gotzenwil,übriges Südosteuropa,NA
2023,Seen,Gotzenwil,Westeuropa,NA
2023,Oberwinterthur,Grüze,Afrika,39
2023,Oberwinterthur,Grüze,Amerika,44
2023,Oberwinterthur,Grüze,Asien,154
2023,Oberwinterthur,Grüze,Bosnien u. Herzegowina,NA
2023,Oberwinterthur,Grüze,Deutschland,255
2023,Oberwinterthur,Grüze,Italien,135
2023,Oberwinterthur,Grüze,Kosovo,32
2023,Oberwinterthur,Grüze,Mazedonien,37
2023,Oberwinterthur,Grüze,Nordeuropa,NA
2023,Oberwinterthur,Grüze,Österreich,44
2023,Oberwinterthur,Grüze,Osteuropa und Russland,46
2023,Oberwinterthur,Grüze,Portugal,NA
2023,Oberwinterthur,Grüze,Schweiz,2525
2023,Oberwinterthur,Grüze,Serbien,NA
2023,Oberwinterthur,Grüze,Spanien,28
2023,Oberwinterthur,Grüze,Türkei,43
2023,Oberwinterthur,Grüze,übriges Mitteleuropa,86
2023,Oberwinterthur,Grüze,übriges Südosteuropa,44
2023,Oberwinterthur,Grüze,unbekannt,6
2023,Oberwinterthur,Grüze,Westeuropa,57
2023,Oberwinterthur,Guggenbühl,Afrika,282
2023,Oberwinterthur,Guggenbühl,Amerika,56
2023,Oberwinterthur,Guggenbühl,Asien,192
2023,Oberwinterthur,Guggenbühl,Bosnien u. Herzegowina,27
2023,Oberwinterthur,Guggenbühl,Deutschland,160
2023,Oberwinterthur,Guggenbühl,Italien,385
2023,Oberwinterthur,Guggenbühl,Kosovo,98
2023,Oberwinterthur,Guggenbühl,Mazedonien,228
2023,Oberwinterthur,Guggenbühl,Nordeuropa,NA
2023,Oberwinterthur,Guggenbühl,Österreich,31
2023,Oberwinterthur,Guggenbühl,Osteuropa und Russland,94
2023,Oberwinterthur,Guggenbühl,Portugal,106
2023,Oberwinterthur,Guggenbühl,Schweiz,3580
2023,Oberwinterthur,Guggenbühl,Serbien,111
2023,Oberwinterthur,Guggenbühl,Spanien,47
2023,Oberwinterthur,Guggenbühl,Türkei,170
2023,Oberwinterthur,Guggenbühl,übriges Mitteleuropa,112
2023,Oberwinterthur,Guggenbühl,übriges Südosteuropa,57
2023,Oberwinterthur,Guggenbühl,unbekannt,6
2023,Oberwinterthur,Guggenbühl,Westeuropa,49
2023,Mattenbach,Gutschick,Afrika,103
2023,Mattenbach,Gutschick,Amerika,36
2023,Mattenbach,Gutschick,Asien,145
2023,Mattenbach,Gutschick,Australien und Ozeanien,NA
2023,Mattenbach,Gutschick,Bosnien u. Herzegowina,NA
2023,Mattenbach,Gutschick,Deutschland,108
2023,Mattenbach,Gutschick,Italien,211
2023,Mattenbach,Gutschick,Kosovo,97
2023,Mattenbach,Gutschick,Mazedonien,115
2023,Mattenbach,Gutschick,Nordeuropa,NA
2023,Mattenbach,Gutschick,Österreich,23
2023,Mattenbach,Gutschick,Osteuropa und Russland,47
2023,Mattenbach,Gutschick,Portugal,40
2023,Mattenbach,Gutschick,Schweiz,1869
2023,Mattenbach,Gutschick,Serbien,72
2023,Mattenbach,Gutschick,Spanien,33
2023,Mattenbach,Gutschick,Türkei,169
2023,Mattenbach,Gutschick,übriges Mitteleuropa,70
2023,Mattenbach,Gutschick,übriges Südosteuropa,33
2023,Mattenbach,Gutschick,unbekannt,4
2023,Mattenbach,Gutschick,Westeuropa,NA
2023,Wülflingen,Hardau,Asien,NA
2023,Wülflingen,Hardau,Deutschland,NA
2023,Wülflingen,Hardau,Italien,NA
2023,Wülflingen,Hardau,Österreich,NA
2023,Wülflingen,Hardau,Osteuropa und Russland,NA
2023,Wülflingen,Hardau,Schweiz,308
2023,Wülflingen,Hardau,Türkei,NA
2023,Wülflingen,Hardau,übriges Mitteleuropa,NA
2023,Wülflingen,Härti,Afrika,72
2023,Wülflingen,Härti,Amerika,67
2023,Wülflingen,Härti,Asien,157
2023,Wülflingen,Härti,Bosnien u. Herzegowina,NA
2023,Wülflingen,Härti,Deutschland,127
2023,Wülflingen,Härti,Italien,208
2023,Wülflingen,Härti,Kosovo,117
2023,Wülflingen,Härti,Mazedonien,121
2023,Wülflingen,Härti,Nordeuropa,NA
2023,Wülflingen,Härti,Österreich,22
2023,Wülflingen,Härti,Osteuropa und Russland,NA
2023,Wülflingen,Härti,Portugal,48
2023,Wülflingen,Härti,Schweiz,2304
2023,Wülflingen,Härti,Serbien,69
2023,Wülflingen,Härti,Spanien,61
2023,Wülflingen,Härti,Türkei,70
2023,Wülflingen,Härti,übriges Mitteleuropa,64
2023,Wülflingen,Härti,übriges Südosteuropa,43
2023,Wülflingen,Härti,unbekannt,1
2023,Wülflingen,Härti,Westeuropa,28
2023,Oberwinterthur,Hegi,Afrika,41
2023,Oberwinterthur,Hegi,Amerika,27
2023,Oberwinterthur,Hegi,Asien,102
2023,Oberwinterthur,Hegi,Bosnien u. Herzegowina,NA
2023,Oberwinterthur,Hegi,Deutschland,170
2023,Oberwinterthur,Hegi,Italien,107
2023,Oberwinterthur,Hegi,Kosovo,40
2023,Oberwinterthur,Hegi,Mazedonien,57
2023,Oberwinterthur,Hegi,Nordeuropa,NA
2023,Oberwinterthur,Hegi,Österreich,24
2023,Oberwinterthur,Hegi,Osteuropa und Russland,NA
2023,Oberwinterthur,Hegi,Portugal,NA
2023,Oberwinterthur,Hegi,Schweiz,2862
2023,Oberwinterthur,Hegi,Serbien,NA
2023,Oberwinterthur,Hegi,Spanien,NA
2023,Oberwinterthur,Hegi,Türkei,29
2023,Oberwinterthur,Hegi,übriges Mitteleuropa,59
2023,Oberwinterthur,Hegi,übriges Südosteuropa,NA
2023,Oberwinterthur,Hegi,unbekannt,3
2023,Oberwinterthur,Hegi,Westeuropa,NA
2023,Oberwinterthur,Hegmatten,Afrika,68
2023,Oberwinterthur,Hegmatten,Amerika,35
2023,Oberwinterthur,Hegmatten,Asien,92
2023,Oberwinterthur,Hegmatten,Australien und Ozeanien,NA
2023,Oberwinterthur,Hegmatten,Bosnien u. Herzegowina,NA
2023,Oberwinterthur,Hegmatten,Deutschland,138
2023,Oberwinterthur,Hegmatten,Italien,93
2023,Oberwinterthur,Hegmatten,Kosovo,25
2023,Oberwinterthur,Hegmatten,Mazedonien,23
2023,Oberwinterthur,Hegmatten,Nordeuropa,NA
2023,Oberwinterthur,Hegmatten,Österreich,NA
2023,Oberwinterthur,Hegmatten,Osteuropa und Russland,NA
2023,Oberwinterthur,Hegmatten,Portugal,NA
2023,Oberwinterthur,Hegmatten,Schweiz,1867
2023,Oberwinterthur,Hegmatten,Serbien,NA
2023,Oberwinterthur,Hegmatten,Spanien,25
2023,Oberwinterthur,Hegmatten,Türkei,NA
2023,Oberwinterthur,Hegmatten,übriges Mitteleuropa,53
2023,Oberwinterthur,Hegmatten,übriges Südosteuropa,33
2023,Oberwinterthur,Hegmatten,unbekannt,10
2023,Oberwinterthur,Hegmatten,Westeuropa,38
2023,Stadt,Heiligberg,Afrika,NA
2023,Stadt,Heiligberg,Amerika,23
2023,Stadt,Heiligberg,Asien,47
2023,Stadt,Heiligberg,Australien und Ozeanien,NA
2023,Stadt,Heiligberg,Deutschland,172
2023,Stadt,Heiligberg,Italien,65
2023,Stadt,Heiligberg,Kosovo,NA
2023,Stadt,Heiligberg,Mazedonien,NA
2023,Stadt,Heiligberg,Nordeuropa,NA
2023,Stadt,Heiligberg,Österreich,26
2023,Stadt,Heiligberg,Osteuropa und Russland,161
2023,Stadt,Heiligberg,Portugal,NA
2023,Stadt,Heiligberg,Schweiz,3266
2023,Stadt,Heiligberg,Serbien,NA
2023,Stadt,Heiligberg,Spanien,26
2023,Stadt,Heiligberg,Türkei,28
2023,Stadt,Heiligberg,übriges Mitteleuropa,22
2023,Stadt,Heiligberg,übriges Südosteuropa,NA
2023,Stadt,Heiligberg,Westeuropa,27
2023,Seen,Iberg,Afrika,NA
2023,Seen,Iberg,Amerika,NA
2023,Seen,Iberg,Asien,NA
2023,Seen,Iberg,Deutschland,38
2023,Seen,Iberg,Italien,37
2023,Seen,Iberg,Kosovo,NA
2023,Seen,Iberg,Mazedonien,NA
2023,Seen,Iberg,Nordeuropa,NA
2023,Seen,Iberg,Österreich,NA
2023,Seen,Iberg,Osteuropa und Russland,NA
2023,Seen,Iberg,Portugal,NA
2023,Seen,Iberg,Schweiz,1015
2023,Seen,Iberg,Spanien,NA
2023,Seen,Iberg,Türkei,NA
2023,Seen,Iberg,übriges Mitteleuropa,NA
2023,Seen,Iberg,Westeuropa,NA
2023,Stadt,Lind,Afrika,105
2023,Stadt,Lind,Amerika,44
2023,Stadt,Lind,Asien,92
2023,Stadt,Lind,Australien und Ozeanien,NA
2023,Stadt,Lind,Bosnien u. Herzegowina,NA
2023,Stadt,Lind,Deutschland,319
2023,Stadt,Lind,Italien,134
2023,Stadt,Lind,Kosovo,29
2023,Stadt,Lind,Mazedonien,40
2023,Stadt,Lind,Nordeuropa,22
2023,Stadt,Lind,Österreich,34
2023,Stadt,Lind,Osteuropa und Russland,108
2023,Stadt,Lind,Portugal,NA
2023,Stadt,Lind,Schweiz,4723
2023,Stadt,Lind,Serbien,31
2023,Stadt,Lind,Spanien,34
2023,Stadt,Lind,Türkei,53
2023,Stadt,Lind,übriges Mitteleuropa,70
2023,Stadt,Lind,übriges Südosteuropa,28
2023,Stadt,Lind,unbekannt,1
2023,Stadt,Lind,Westeuropa,83
2023,Wülflingen,Lindenplatz,Afrika,51
2023,Wülflingen,Lindenplatz,Amerika,29
2023,Wülflingen,Lindenplatz,Asien,107
2023,Wülflingen,Lindenplatz,Bosnien u. Herzegowina,NA
2023,Wülflingen,Lindenplatz,Deutschland,80
2023,Wülflingen,Lindenplatz,Italien,186
2023,Wülflingen,Lindenplatz,Kosovo,56
2023,Wülflingen,Lindenplatz,Mazedonien,43
2023,Wülflingen,Lindenplatz,Nordeuropa,NA
2023,Wülflingen,Lindenplatz,Österreich,23
2023,Wülflingen,Lindenplatz,Osteuropa und Russland,43
2023,Wülflingen,Lindenplatz,Portugal,51
2023,Wülflingen,Lindenplatz,Schweiz,2187
2023,Wülflingen,Lindenplatz,Serbien,38
2023,Wülflingen,Lindenplatz,Spanien,31
2023,Wülflingen,Lindenplatz,Türkei,59
2023,Wülflingen,Lindenplatz,übriges Mitteleuropa,51
2023,Wülflingen,Lindenplatz,übriges Südosteuropa,40
2023,Wülflingen,Lindenplatz,unbekannt,1
2023,Wülflingen,Lindenplatz,Westeuropa,26
2023,Wülflingen,Neuburg,Amerika,NA
2023,Wülflingen,Neuburg,Deutschland,NA
2023,Wülflingen,Neuburg,Nordeuropa,NA
2023,Wülflingen,Neuburg,Österreich,NA
2023,Wülflingen,Neuburg,Schweiz,158
2023,Wülflingen,Neuburg,Westeuropa,NA
2023,Stadt,Neuwiesen,Afrika,62
2023,Stadt,Neuwiesen,Amerika,36
2023,Stadt,Neuwiesen,Asien,128
2023,Stadt,Neuwiesen,Australien und Ozeanien,NA
2023,Stadt,Neuwiesen,Bosnien u. Herzegowina,NA
2023,Stadt,Neuwiesen,Deutschland,226
2023,Stadt,Neuwiesen,Italien,121
2023,Stadt,Neuwiesen,Kosovo,26
2023,Stadt,Neuwiesen,Mazedonien,NA
2023,Stadt,Neuwiesen,Nordeuropa,26
2023,Stadt,Neuwiesen,Österreich,43
2023,Stadt,Neuwiesen,Osteuropa und Russland,51
2023,Stadt,Neuwiesen,Portugal,32
2023,Stadt,Neuwiesen,Schweiz,3205
2023,Stadt,Neuwiesen,Serbien,35
2023,Stadt,Neuwiesen,Spanien,47
2023,Stadt,Neuwiesen,Türkei,33
2023,Stadt,Neuwiesen,übriges Mitteleuropa,53
2023,Stadt,Neuwiesen,übriges Südosteuropa,37
2023,Stadt,Neuwiesen,Westeuropa,57
2023,Wülflingen,Niederfeld,Afrika,NA
2023,Wülflingen,Niederfeld,Amerika,NA
2023,Wülflingen,Niederfeld,Asien,40
2023,Wülflingen,Niederfeld,Bosnien u. Herzegowina,NA
2023,Wülflingen,Niederfeld,Deutschland,105
2023,Wülflingen,Niederfeld,Italien,99
2023,Wülflingen,Niederfeld,Kosovo,56
2023,Wülflingen,Niederfeld,Mazedonien,32
2023,Wülflingen,Niederfeld,Nordeuropa,NA
2023,Wülflingen,Niederfeld,Österreich,NA
2023,Wülflingen,Niederfeld,Osteuropa und Russland,NA
2023,Wülflingen,Niederfeld,Portugal,NA
2023,Wülflingen,Niederfeld,Schweiz,1632
2023,Wülflingen,Niederfeld,Serbien,NA
2023,Wülflingen,Niederfeld,Spanien,NA
2023,Wülflingen,Niederfeld,Türkei,38
2023,Wülflingen,Niederfeld,übriges Mitteleuropa,30
2023,Wülflingen,Niederfeld,übriges Südosteuropa,26
2023,Wülflingen,Niederfeld,unbekannt,3
2023,Wülflingen,Niederfeld,Westeuropa,NA
2023,Wülflingen,Oberfeld,Afrika,121
2023,Wülflingen,Oberfeld,Amerika,54
2023,Wülflingen,Oberfeld,Asien,191
2023,Wülflingen,Oberfeld,Australien und Ozeanien,NA
2023,Wülflingen,Oberfeld,Bosnien u. Herzegowina,NA
2023,Wülflingen,Oberfeld,Deutschland,254
2023,Wülflingen,Oberfeld,Italien,301
2023,Wülflingen,Oberfeld,Kosovo,90
2023,Wülflingen,Oberfeld,Mazedonien,89
2023,Wülflingen,Oberfeld,Nordeuropa,NA
2023,Wülflingen,Oberfeld,Österreich,29
2023,Wülflingen,Oberfeld,Osteuropa und Russland,65
2023,Wülflingen,Oberfeld,Portugal,64
2023,Wülflingen,Oberfeld,Schweiz,3730
2023,Wülflingen,Oberfeld,Serbien,49
2023,Wülflingen,Oberfeld,Spanien,55
2023,Wülflingen,Oberfeld,Türkei,110
2023,Wülflingen,Oberfeld,übriges Mitteleuropa,105
2023,Wülflingen,Oberfeld,übriges Südosteuropa,41
2023,Wülflingen,Oberfeld,unbekannt,5
2023,Wülflingen,Oberfeld,Westeuropa,53
2023,Seen,Oberseen,Afrika,NA
2023,Seen,Oberseen,Amerika,NA
2023,Seen,Oberseen,Asien,23
2023,Seen,Oberseen,Australien und Ozeanien,NA
2023,Seen,Oberseen,Deutschland,125
2023,Seen,Oberseen,Italien,42
2023,Seen,Oberseen,Kosovo,NA
2023,Seen,Oberseen,Mazedonien,NA
2023,Seen,Oberseen,Nordeuropa,NA
2023,Seen,Oberseen,Österreich,NA
2023,Seen,Oberseen,Osteuropa und Russland,NA
2023,Seen,Oberseen,Portugal,NA
2023,Seen,Oberseen,Schweiz,2395
2023,Seen,Oberseen,Serbien,NA
2023,Seen,Oberseen,Spanien,NA
2023,Seen,Oberseen,Türkei,24
2023,Seen,Oberseen,übriges Mitteleuropa,26
2023,Seen,Oberseen,übriges Südosteuropa,NA
2023,Seen,Oberseen,Westeuropa,NA
2023,Oberwinterthur,Reutlingen,Afrika,NA
2023,Oberwinterthur,Reutlingen,Amerika,NA
2023,Oberwinterthur,Reutlingen,Asien,NA
2023,Oberwinterthur,Reutlingen,Deutschland,NA
2023,Oberwinterthur,Reutlingen,Italien,NA
2023,Oberwinterthur,Reutlingen,Österreich,NA
2023,Oberwinterthur,Reutlingen,Osteuropa und Russland,NA
2023,Oberwinterthur,Reutlingen,Portugal,NA
2023,Oberwinterthur,Reutlingen,Schweiz,351
2023,Oberwinterthur,Reutlingen,Spanien,NA
2023,Oberwinterthur,Reutlingen,Türkei,NA
2023,Oberwinterthur,Reutlingen,übriges Mitteleuropa,NA
2023,Oberwinterthur,Reutlingen,Westeuropa,NA
2023,Oberwinterthur,Ricketwil,Asien,NA
2023,Oberwinterthur,Ricketwil,Deutschland,NA
2023,Oberwinterthur,Ricketwil,Italien,NA
2023,Oberwinterthur,Ricketwil,Schweiz,78
2023,Veltheim,Rosenberg,Afrika,82
2023,Veltheim,Rosenberg,Amerika,28
2023,Veltheim,Rosenberg,Asien,107
2023,Veltheim,Rosenberg,Bosnien u. Herzegowina,NA
2023,Veltheim,Rosenberg,Deutschland,250
2023,Veltheim,Rosenberg,Italien,129
2023,Veltheim,Rosenberg,Kosovo,29
2023,Veltheim,Rosenberg,Mazedonien,43
2023,Veltheim,Rosenberg,Nordeuropa,NA
2023,Veltheim,Rosenberg,Österreich,31
2023,Veltheim,Rosenberg,Osteuropa und Russland,21
2023,Veltheim,Rosenberg,Portugal,42
2023,Veltheim,Rosenberg,Schweiz,4629
2023,Veltheim,Rosenberg,Serbien,66
2023,Veltheim,Rosenberg,Spanien,35
2023,Veltheim,Rosenberg,Türkei,57
2023,Veltheim,Rosenberg,übriges Mitteleuropa,38
2023,Veltheim,Rosenberg,übriges Südosteuropa,NA
2023,Veltheim,Rosenberg,Westeuropa,44
2023,Töss,Rossberg,Amerika,NA
2023,Töss,Rossberg,Deutschland,NA
2023,Töss,Rossberg,Österreich,NA
2023,Töss,Rossberg,Osteuropa und Russland,NA
2023,Töss,Rossberg,Portugal,NA
2023,Töss,Rossberg,Schweiz,32
2023,Töss,Rossberg,übriges Mitteleuropa,NA
2023,Töss,Rossberg,übriges Südosteuropa,NA
2023,Töss,Rossberg,Westeuropa,NA
2023,Töss,Schlosstal,Afrika,51
2023,Töss,Schlosstal,Amerika,24
2023,Töss,Schlosstal,Asien,121
2023,Töss,Schlosstal,Australien und Ozeanien,NA
2023,Töss,Schlosstal,Bosnien u. Herzegowina,NA
2023,Töss,Schlosstal,Deutschland,130
2023,Töss,Schlosstal,Italien,169
2023,Töss,Schlosstal,Kosovo,75
2023,Töss,Schlosstal,Mazedonien,123
2023,Töss,Schlosstal,Nordeuropa,NA
2023,Töss,Schlosstal,Österreich,30
2023,Töss,Schlosstal,Osteuropa und Russland,33
2023,Töss,Schlosstal,Portugal,25
2023,Töss,Schlosstal,Schweiz,2194
2023,Töss,Schlosstal,Serbien,87
2023,Töss,Schlosstal,Spanien,26
2023,Töss,Schlosstal,Türkei,93
2023,Töss,Schlosstal,übriges Mitteleuropa,75
2023,Töss,Schlosstal,übriges Südosteuropa,56
2023,Töss,Schlosstal,unbekannt,4
2023,Töss,Schlosstal,Westeuropa,34
2023,Seen,Sennhof,Afrika,38
2023,Seen,Sennhof,Amerika,NA
2023,Seen,Sennhof,Asien,35
2023,Seen,Sennhof,Bosnien u. Herzegowina,NA
